,0
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
16,1.0266305227708314
17,1.0266305227708314
18,1.0266305227708314
19,1.0266305227708314
20,1.0266305227708314
21,1.0266305227708314
22,1.0266305227708314
23,1.0266305227708314
24,1.0266305227708314
25,0.9725289580376596
26,0.9725289580376596
27,0.9725289580376596
28,0.9725289580376596
29,0.9725289580376596
30,0.9701588430848413
31,0.9701588430848413
32,0.9701588430848413
33,0.9701588430848413
34,0.9701588430848413
35,0.9701588430848413
36,0.9701588430848413
37,0.9701588430848413
38,0.9701588430848413
39,0.9701588430848413
40,0.9701588430848413
41,0.9701588430848413
42,0.9701588430848413
43,0.9701588430848413
44,0.9701588430848413
45,0.9701588430848413
46,0.9701588430848413
47,0.9701588430848413
48,0.9701588430848413
49,0.9701588430848413
50,0.9701588430848413
51,0.9701588430848413
52,0.9701588430848413
53,0.9701588430848413
54,0.9701588430848413
55,0.9701588430848413
56,0.9701588430848413
57,0.9701588430848413
58,0.9701588430848413
59,0.9701588430848413
60,0.9295279106648872
61,0.9295279106648872
62,0.9295279106648872
63,0.9295279106648872
64,0.9295279106648872
65,0.9295279106648872
66,0.9295279106648872
67,0.9295279106648872
68,0.9295279106648872
69,0.9295279106648872
70,0.9295279106648872
71,0.9295279106648872
72,0.9295279106648872
73,0.9295279106648872
74,0.9295279106648872
75,0.9295279106648872
76,0.9295279106648872
77,0.9295279106648872
78,0.9295279106648872
79,0.9295279106648872
80,0.9295279106648872
81,0.9295279106648872
82,0.9295279106648872
83,0.9168814095861539
84,0.9168814095861539
85,0.9168814095861539
86,0.9168814095861539
87,0.9168814095861539
88,0.9168814095861539
89,0.9168814095861539
90,0.9168814095861539
91,0.9168814095861539
92,0.9168814095861539
93,0.9168814095861539
94,0.9168814095861539
95,0.9168814095861539
96,0.9168814095861539
97,0.9168814095861539
98,0.9168814095861539
99,0.9168814095861539
100,0.9168814095861539
101,0.9168814095861539
102,0.9168814095861539
103,0.9168814095861539
104,0.9168814095861539
105,0.914987862709536
106,0.914987862709536
107,0.914987862709536
108,0.914987862709536
109,0.914987862709536
110,0.914987862709536
111,0.914987862709536
112,0.914987862709536
113,0.914987862709536
114,0.914987862709536
115,0.914987862709536
116,0.914987862709536
117,0.914987862709536
118,0.9355275910397219
119,0.9355275910397219
120,0.9355275910397219
121,0.9355275910397219
122,0.9355275910397219
123,0.9355275910397219
124,0.9355275910397219
125,0.9355275910397219
126,0.9355275910397219
127,0.9355275910397219
128,0.9355275910397219
129,0.9355275910397219
130,0.9355275910397219
131,0.9355275910397219
132,0.9355275910397219
133,0.9355275910397219
134,0.9355275910397219
135,0.9355275910397219
136,0.9355275910397219
137,0.9355275910397219
138,0.9690011714039698
139,0.9690011714039698
140,0.9690011714039698
141,0.9690011714039698
142,0.9690011714039698
143,0.9690011714039698
144,0.9690011714039698
145,0.9690011714039698
146,0.9690011714039698
147,0.9690011714039698
148,0.9690011714039698
149,0.9690011714039698
150,0.9690011714039698
151,0.9690011714039698
152,0.9690011714039698
153,0.9690011714039698
154,0.9690011714039698
155,0.9690011714039698
156,0.9690011714039698
157,0.9690011714039698
158,0.9690011714039698
159,0.9690011714039698
160,0.9690011714039698
161,0.9690011714039698
162,0.986828381229119
163,0.986828381229119
164,0.986828381229119
165,0.986828381229119
166,0.986828381229119
167,0.986828381229119
168,0.986828381229119
169,0.986828381229119
170,0.986828381229119
171,0.986828381229119
172,0.986828381229119
173,0.986828381229119
174,0.986828381229119
175,0.986828381229119
176,1.0345333367069305
177,1.0345333367069305
178,1.0345333367069305
179,1.0345333367069305
180,1.0345333367069305
181,1.0345333367069305
182,1.0345333367069305
183,1.0345333367069305
184,1.0345333367069305
185,1.0345333367069305
186,1.0653450207725994
187,1.0653450207725994
188,1.0653450207725994
189,1.0653450207725994
190,1.0653450207725994
191,1.0653450207725994
192,1.0653450207725994
193,1.0653450207725994
194,1.0653450207725994
195,1.0653450207725994
196,1.0653450207725994
197,1.0653450207725994
198,0.9555246944577347
